Rk,Season,Team,Lg,bWAR,GP,W,L,WL%,Bat#,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,LOB,R/Gm,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,pWAR,ERA,G,CG,SHO,SV,IP,H,RA,ER,pHR,pBB,pIBB,pSO,pHBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA
1,2021,LAA,AL,7.8,162,77,85,0.475,57,6016,5437,723,1331,853,265,23,190,691,79,26,464,1394,0.245,0.31,0.407,0.717,93,2212,107,59,30,25,35,1029,4.5,7.8,-11.8,14.1,-6.2,-62,3,1,4,-67,13.8,4.69,162,1,0,39,1421.2,1373,804,741,188,592,18,1453,56,11,56,6196,96,4.21,1.382,8.7,1.2,3.7,9.2,2.45,13.8,0.7
2,2021,ARI,NL,8.7,162,52,110,0.321,64,6144,5489,679,1297,814,308,31,144,644,43,16,537,1465,0.236,0.309,0.382,0.692,87,2099,99,54,32,28,24,1152,4.2,8.7,-11,14.3,-5.4,-105,4,3,8,-49,3.9,5.15,162,3,3,22,1417,1480,893,811,232,555,45,1238,43,7,43,6270,83,4.82,1.436,9.4,1.5,3.5,7.9,2.23,3.9,-8.1
3,2021,ATL,NL,19.1,161,88,73,0.547,56,6056,5363,790,1307,779,269,20,239,762,59,19,549,1453,0.244,0.319,0.435,0.754,98,2333,81,67,32,43,36,1072,4.9,19.1,-0.2,19.2,0,-47,4,-1,3,5,21.1,3.89,161,2,2,40,1410.2,1237,656,610,183,516,34,1417,73,8,73,5944,112,4.1,1.243,7.9,1.2,3.3,9,2.75,21.1,8.2
4,2021,BAL,AL,7.6,162,52,110,0.321,44,5983,5420,659,1296,820,266,15,195,632,54,23,451,1454,0.239,0.304,0.402,0.705,91,2177,105,65,14,31,12,1046,4.1,7.6,-12.2,10.7,-3.1,-85,-4,-3,-8,-34,1.1,5.85,162,1,1,26,1402,1518,956,911,258,563,12,1234,88,7,88,6252,78,5.19,1.484,9.7,1.7,3.6,7.9,2.19,1.1,-12
5,2021,BOS,AL,23.2,162,92,70,0.568,43,6122,5495,829,1434,862,330,23,219,783,40,21,512,1386,0.261,0.328,0.449,0.777,106,2467,100,61,10,42,22,1093,5.1,23.2,3,23.8,-0.5,27,3,1,4,-10,19.8,4.27,162,0,0,49,1419,1409,749,674,176,546,31,1527,63,6,63,6147,109,3.92,1.378,8.9,1.1,3.5,9.7,2.8,19.8,7.2
6,2021,CHC,NL,18.3,162,71,91,0.438,69,5972,5306,705,1255,794,225,26,210,672,86,37,502,1596,0.237,0.312,0.407,0.719,93,2162,133,92,40,30,17,1019,4.4,18.3,-0.9,17.2,1.3,-54,-7,1,-6,17,1.2,4.88,162,1,0,40,1412.2,1386,839,766,235,596,25,1358,60,4,60,6202,87,4.8,1.403,8.8,1.5,3.8,8.7,2.28,1.2,-11.8
7,2021,CHW,AL,23.8,162,93,69,0.574,41,6084,5357,796,1373,886,275,22,190,757,57,20,586,1389,0.256,0.336,0.422,0.758,106,2262,139,78,24,39,10,1125,4.9,23.8,3.9,26.9,-3.1,69,-2,0,-2,-34,26,3.73,162,4,3,43,1403.1,1205,636,581,182,485,16,1588,84,6,84,5861,119,3.81,1.204,7.7,1.2,3.1,10.2,3.27,26,13.6
8,2021,CIN,NL,11.4,162,83,79,0.512,54,6162,5423,786,1352,822,295,13,222,756,36,24,553,1425,0.249,0.328,0.431,0.759,94,2339,129,105,35,45,22,1110,4.9,11.4,-8.3,16.4,-4.8,-62,-6,-12,-17,-42,26.2,4.41,162,1,1,41,1434.1,1330,760,703,206,617,30,1524,62,8,62,6199,107,4.33,1.357,8.3,1.3,3.9,9.6,2.47,26.2,14.1
9,2021,CLE,AL,15.9,162,80,82,0.494,42,5907,5332,717,1269,796,248,22,203,686,109,17,453,1387,0.238,0.303,0.407,0.71,94,2170,105,64,20,36,18,987,4.4,15.9,-3.6,16.4,-0.4,-52,2,16,18,-8,15.9,4.34,162,0,0,39,1408,1281,727,679,216,522,12,1391,52,8,52,5968,99,4.41,1.281,8.2,1.4,3.3,8.9,2.66,15.9,3.4
10,2021,COL,NL,19.9,161,74,87,0.46,44,6007,5374,739,1338,847,275,34,182,709,76,23,491,1356,0.249,0.317,0.414,0.731,86,2227,98,58,48,36,24,1074,4.6,19.9,0.5,13.6,6.7,-117,7,9,16,67,8.6,4.83,161,3,1,33,1397,1397,796,749,196,539,19,1269,67,3,67,6044,100,4.48,1.386,9,1.3,3.5,8.2,2.35,8.6,-2.9
